service_id,date,exception_type
JA_C6-Weekday,20160818,1
JA_C6-Weekday,20160819,1
JA_C6-Weekday,20160822,1
JA_C6-Weekday,20160823,1
JA_C6-Weekday,20160824,1
JA_C6-Weekday,20160825,1
JA_C6-Weekday,20160826,1
JA_C6-Weekday,20160829,1
JA_C6-Weekday,20160830,1
JA_C6-Weekday,20160831,1
JA_C6-Weekday,20160901,1
JA_C6-Weekday,20160902,1
QV_C6-Saturday,20160704,1
QV_C6-Saturday-BM,20160703,1
QV_C6-Weekday-SDon,20160705,2
QV_C6-Weekday-SDon-BM,20160704,2
QV_C6-Weekday-SDon,20160706,2
QV_C6-Weekday-SDon-BM,20160705,2
QV_C6-Weekday-SDon,20160707,2
QV_C6-Weekday-SDon-BM,20160706,2
QV_C6-Weekday-SDon,20160708,2
QV_C6-Weekday-SDon-BM,20160707,2
QV_C6-Weekday-SDon,20160711,2
QV_C6-Weekday-SDon-BM,20160710,2
QV_C6-Weekday-SDon,20160712,2
QV_C6-Weekday-SDon-BM,20160711,2
QV_C6-Weekday-SDon,20160713,2
QV_C6-Weekday-SDon-BM,20160712,2
QV_C6-Weekday-SDon,20160714,2
QV_C6-Weekday-SDon-BM,20160713,2
QV_C6-Weekday-SDon,20160715,2
QV_C6-Weekday-SDon-BM,20160714,2
QV_C6-Weekday-SDon,20160718,2
QV_C6-Weekday-SDon-BM,20160717,2
QV_C6-Weekday-SDon,20160719,2
QV_C6-Weekday-SDon-BM,20160718,2
QV_C6-Weekday-SDon,20160720,2
QV_C6-Weekday-SDon-BM,20160719,2
QV_C6-Weekday-SDon,20160721,2
QV_C6-Weekday-SDon-BM,20160720,2
QV_C6-Weekday-SDon,20160722,2
QV_C6-Weekday-SDon-BM,20160721,2
QV_C6-Weekday-SDon,20160725,2
QV_C6-Weekday-SDon-BM,20160724,2
QV_C6-Weekday-SDon,20160726,2
QV_C6-Weekday-SDon-BM,20160725,2
QV_C6-Weekday-SDon,20160727,2
QV_C6-Weekday-SDon-BM,20160726,2
QV_C6-Weekday-SDon,20160728,2
QV_C6-Weekday-SDon-BM,20160727,2
QV_C6-Weekday-SDon,20160729,2
QV_C6-Weekday-SDon-BM,20160728,2
QV_C6-Weekday-SDon,20160801,2
QV_C6-Weekday-SDon-BM,20160731,2
QV_C6-Weekday-SDon,20160802,2
QV_C6-Weekday-SDon-BM,20160801,2
QV_C6-Weekday-SDon,20160803,2
QV_C6-Weekday-SDon-BM,20160802,2
QV_C6-Weekday-SDon,20160804,2
QV_C6-Weekday-SDon-BM,20160803,2
QV_C6-Weekday-SDon,20160805,2
QV_C6-Weekday-SDon-BM,20160804,2
QV_C6-Weekday-SDon,20160808,2
QV_C6-Weekday-SDon-BM,20160807,2
QV_C6-Weekday-SDon,20160809,2
QV_C6-Weekday-SDon-BM,20160808,2
QV_C6-Weekday-SDon,20160810,2
QV_C6-Weekday-SDon-BM,20160809,2
QV_C6-Weekday-SDon,20160811,2
QV_C6-Weekday-SDon-BM,20160810,2
QV_C6-Weekday-SDon,20160812,2
QV_C6-Weekday-SDon-BM,20160811,2
QV_C6-Weekday-SDon,20160815,2
QV_C6-Weekday-SDon-BM,20160814,2
QV_C6-Weekday-SDon,20160816,2
QV_C6-Weekday-SDon-BM,20160815,2
QV_C6-Weekday-SDon,20160817,2
QV_C6-Weekday-SDon-BM,20160816,2
QV_C6-Weekday-SDon,20160818,2
QV_C6-Weekday-SDon-BM,20160817,2
QV_C6-Weekday-SDon,20160819,2
QV_C6-Weekday-SDon-BM,20160818,2
QV_C6-Weekday-SDon,20160822,2
QV_C6-Weekday-SDon-BM,20160821,2
QV_C6-Weekday-SDon,20160823,2
QV_C6-Weekday-SDon-BM,20160822,2
QV_C6-Weekday-SDon,20160824,2
QV_C6-Weekday-SDon-BM,20160823,2
QV_C6-Weekday-SDon,20160825,2
QV_C6-Weekday-SDon-BM,20160824,2
QV_C6-Weekday-SDon,20160826,2
QV_C6-Weekday-SDon-BM,20160825,2
QV_C6-Weekday-SDon,20160829,2
QV_C6-Weekday-SDon-BM,20160828,2
QV_C6-Weekday-SDon,20160830,2
QV_C6-Weekday-SDon-BM,20160829,2
QV_C6-Weekday-SDon,20160831,2
QV_C6-Weekday-SDon-BM,20160830,2
QV_C6-Weekday-SDon,20160901,2
QV_C6-Weekday-SDon-BM,20160831,2
QV_C6-Weekday-SDon,20160902,2
QV_C6-Weekday-SDon-BM,20160901,2
QV_C6-Weekday,20160705,1
QV_C6-Weekday-BM,20160704,1
QV_C6-Weekday,20160706,1
QV_C6-Weekday-BM,20160705,1
QV_C6-Weekday,20160707,1
QV_C6-Weekday-BM,20160706,1
QV_C6-Weekday,20160708,1
QV_C6-Weekday-BM,20160707,1
QV_C6-Weekday,20160711,1
QV_C6-Weekday-BM,20160710,1
QV_C6-Weekday,20160712,1
QV_C6-Weekday-BM,20160711,1
QV_C6-Weekday,20160713,1
QV_C6-Weekday-BM,20160712,1
QV_C6-Weekday,20160714,1
QV_C6-Weekday-BM,20160713,1
QV_C6-Weekday,20160715,1
QV_C6-Weekday-BM,20160714,1
QV_C6-Weekday,20160718,1
QV_C6-Weekday-BM,20160717,1
QV_C6-Weekday,20160719,1
QV_C6-Weekday-BM,20160718,1
QV_C6-Weekday,20160720,1
QV_C6-Weekday-BM,20160719,1
QV_C6-Weekday,20160721,1
QV_C6-Weekday-BM,20160720,1
QV_C6-Weekday,20160722,1
QV_C6-Weekday-BM,20160721,1
QV_C6-Weekday,20160725,1
QV_C6-Weekday-BM,20160724,1
QV_C6-Weekday,20160726,1
QV_C6-Weekday-BM,20160725,1
QV_C6-Weekday,20160727,1
QV_C6-Weekday-BM,20160726,1
QV_C6-Weekday,20160728,1
QV_C6-Weekday-BM,20160727,1
QV_C6-Weekday,20160729,1
QV_C6-Weekday-BM,20160728,1
QV_C6-Weekday,20160801,1
QV_C6-Weekday-BM,20160731,1
QV_C6-Weekday,20160802,1
QV_C6-Weekday-BM,20160801,1
QV_C6-Weekday,20160803,1
QV_C6-Weekday-BM,20160802,1
QV_C6-Weekday,20160804,1
QV_C6-Weekday-BM,20160803,1
QV_C6-Weekday,20160805,1
QV_C6-Weekday-BM,20160804,1
QV_C6-Weekday,20160808,1
QV_C6-Weekday-BM,20160807,1
QV_C6-Weekday,20160809,1
QV_C6-Weekday-BM,20160808,1
QV_C6-Weekday,20160810,1
QV_C6-Weekday-BM,20160809,1
QV_C6-Weekday,20160811,1
QV_C6-Weekday-BM,20160810,1
QV_C6-Weekday,20160812,1
QV_C6-Weekday-BM,20160811,1
